ID,Var1,WorkStatus,Score,Divorce,Widowed,Education,Residence_Region,babies,preteen,teens,income,Engagement_Religion,Var2,TVhours,Gender,Unemployed10,Happy
10004927,B,working fulltime,46,NA,NA,14,e. sou. central,0,0,0,$10000 - 14999,every week,2,2,1,1,Pretty Happy
10004928,B,working parttime,40,no,no,12,w. sou. central,0,0,0,$25000 or more,sevrl times a yr,2,3,0,0,Pretty Happy
10004930,B,working fulltime,44,no,yes,11,w. nor. central,0,0,0,$25000 or more,lt once a year,3,3,1,NA,Pretty Happy
10004931,B,working fulltime,22,yes,no,12,w. sou. central,0,0,0,$25000 or more,more thn once wk,1,NA,0,0,Pretty Happy
10004932,B,working fulltime,30,no,no,12,w. sou. central,0,0,0,$25000 or more,2-3x a month,2,5,0,0,Pretty Happy
10004933,B,working fulltime,86,no,no,16,w. sou. central,0,0,2,$25000 or more,sevrl times a yr,3,NA,1,0,Very Happy
10004935,B,working fulltime,30,no,no,15,w. sou. central,0,0,0,$25000 or more,every week,3,NA,0,0,Pretty Happy
10004937,B,working parttime,66,no,no,16,w. sou. central,0,0,0,$25000 or more,more thn once wk,2,2,1,0,Pretty Happy
10004941,B,working fulltime,39,no,no,12,w. sou. central,0,0,0,$25000 or more,once a month,2,2,1,0,Pretty Happy
10004942,B,working fulltime,49,yes,no,10,middle atlantic,0,0,0,$25000 or more,never,1,2,0,NA,Pretty Happy
10004943,B,working fulltime,56,yes,no,18,w. sou. central,0,0,0,NA,every week,3,NA,1,0,Very Happy
10004944,B,working fulltime,30,yes,no,15,w. sou. central,0,0,0,$25000 or more,once a year,2,5,0,1,Very Happy
10004945,B,working fulltime,30,yes,no,11,w. sou. central,0,0,0,$25000 or more,every week,3,2,0,NA,Pretty Happy
10004946,B,working fulltime,51,NA,NA,9,w. sou. central,0,0,0,$1000 to 2999,lt once a year,3,NA,1,1,Pretty Happy
10004947,B,working fulltime,51,no,no,12,w. sou. central,0,1,2,$15000 - 19999,sevrl times a yr,3,3,0,NA,Pretty Happy
10004950,B,working fulltime,23,no,no,12,w. sou. central,2,0,0,$10000 - 14999,NA,2,3,0,1,Not Happy
10004952,B,keeping house,24,NA,yes,9,e. nor. central,0,0,0,$5000 to 5999,sevrl times a yr,1,NA,1,1,Not Happy
10004953,B,keeping house,NA,no,no,NA,e. nor. central,1,0,0,lt $1000,nrly every week,1,NA,1,1,Pretty Happy
10004954,B,working fulltime,34,NA,no,9,w. sou. central,0,0,0,NA,once a month,1,1,0,NA,Pretty Happy
10004956,B,working fulltime,43,no,no,12,w. sou. central,0,0,0,$25000 or more,every week,2,1,1,0,Very Happy
10004957,B,working fulltime,57,NA,yes,12,w. sou. central,1,2,0,$25000 or more,once a year,1,2,1,NA,Pretty Happy
10004958,B,working fulltime,51,yes,no,14,w. sou. central,0,0,1,$25000 or more,once a year,3,2,0,NA,Pretty Happy
10004960,B,keeping house,64,no,no,16,mountain,2,0,0,$15000 - 19999,every week,2,4,1,0,Very Happy
10004961,B,working fulltime,29,no,NA,12,w. sou. central,0,0,0,$15000 - 19999,every week,3,NA,1,0,Pretty Happy
10004962,B,working parttime,28,no,no,12,w. sou. central,0,0,0,$25000 or more,2-3x a month,3,NA,1,0,Pretty Happy
10004963,B,working fulltime,35,no,no,12,w. sou. central,0,0,0,$25000 or more,nrly every week,3,NA,1,0,Very Happy
10004966,B,working fulltime,40,yes,no,11,w. sou. central,0,0,0,NA,lt once a year,2,4,0,0,Very Happy
10004967,B,keeping house,29,no,no,11,w. sou. central,0,0,0,NA,never,3,3,1,NA,Pretty Happy
10004968,B,working fulltime,40,no,no,14,w. sou. central,0,0,0,$25000 or more,once a month,3,2,0,NA,Very Happy
10004969,B,other,60,no,NA,12,w. sou. central,0,0,0,NA,every week,3,NA,1,0,Not Happy
10004970,B,school,NA,NA,NA,15,w. nor. central,0,0,0,NA,more thn once wk,1,NA,1,0,Very Happy
10004971,B,other,33,no,no,12,w. nor. central,0,0,0,$7000 to 7999,once a year,1,NA,1,0,Not Happy
10004972,B,keeping house,46,no,no,15,w. sou. central,0,0,0,$7000 to 7999,more thn once wk,1,NA,1,0,Very Happy
10004974,B,keeping house,42,no,no,9,w. sou. central,1,0,0,$10000 - 14999,lt once a year,1,3,1,NA,Pretty Happy
10004975,B,retired,NA,no,no,12,w. sou. central,0,0,0,$20000 - 24999,every week,3,6,1,NA,Pretty Happy
10004976,B,retired,51,NA,no,16,w. sou. central,0,0,0,$25000 or more,more thn once wk,1,NA,1,0,Very Happy
10004977,B,keeping house,39,yes,yes,11,w. sou. central,0,1,2,$20000 - 24999,nrly every week,1,8,1,NA,Pretty Happy
10004978,B,working fulltime,32,no,no,16,w. sou. central,1,0,0,$20000 - 24999,every week,1,NA,0,0,Pretty Happy
10004979,B,working fulltime,41,yes,no,20,w. sou. central,1,1,0,$25000 or more,sevrl times a yr,2,1,0,0,Not Happy
10004980,B,working fulltime,68,no,no,16,e. nor. central,1,0,0,$25000 or more,2-3x a month,1,2,1,NA,Pretty Happy
10004981,B,working parttime,17,NA,no,12,w. sou. central,0,0,0,$7000 to 7999,sevrl times a yr,1,NA,1,1,Pretty Happy
10004988,B,working fulltime,32,NA,NA,14,middle atlantic,0,0,0,$15000 - 19999,lt once a year,2,3,1,1,Pretty Happy
10004991,B,keeping house,23,NA,NA,11,w. sou. central,1,2,0,lt $1000,sevrl times a yr,1,3,1,NA,Pretty Happy
10004992,B,retired,24,no,NA,8,w. sou. central,0,0,0,NA,NA,3,NA,1,0,Pretty Happy
10004993,B,retired,22,yes,NA,10,w. sou. central,0,0,0,$5000 to 5999,2-3x a month,2,4,1,0,Pretty Happy
10004995,B,retired,36,yes,NA,12,w. sou. central,0,0,0,$5000 to 5999,every week,1,NA,0,0,Very Happy
10004996,B,retired,60,yes,NA,7,w. sou. central,0,0,0,$10000 - 14999,never,3,NA,0,0,Very Happy
10004997,B,working fulltime,32,no,no,12,w. sou. central,0,0,0,$10000 - 14999,every week,2,6,0,1,Pretty Happy
10004999,B,working fulltime,64,no,no,17,w. sou. central,0,0,1,$25000 or more,once a year,3,NA,0,0,Pretty Happy
10005006,B,working fulltime,36,NA,NA,19,w. sou. central,0,0,0,$25000 or more,never,1,2,0,NA,Very Happy
10005008,B,working fulltime,57,NA,NA,20,w. sou. central,0,0,0,$20000 - 24999,once a year,1,NA,1,1,Pretty Happy
10005009,B,working fulltime,51,NA,NA,16,w. sou. central,0,0,0,$25000 or more,nrly every week,1,NA,1,1,Pretty Happy
10005011,B,keeping house,24,yes,yes,12,w. sou. central,0,0,0,$20000 - 24999,lt once a year,1,8,1,NA,Not Happy
10005012,B,working fulltime,63,NA,no,16,w. sou. central,0,0,0,$25000 or more,lt once a year,2,2,1,1,Pretty Happy
10005013,B,working fulltime,66,NA,no,14,new england,0,0,0,$25000 or more,once a month,1,NA,0,0,Not Happy
10005015,B,working fulltime,57,NA,no,18,south atlantic,0,0,0,$25000 or more,once a year,1,1,0,NA,Pretty Happy
10005017,B,working fulltime,40,NA,no,16,pacific,0,0,0,$25000 or more,once a year,1,NA,0,1,Very Happy
10005018,B,working fulltime,74,NA,no,14,w. sou. central,2,2,0,$25000 or more,once a year,3,2,1,NA,Pretty Happy
10005021,B,working fulltime,42,yes,no,14,pacific,1,0,0,$25000 or more,sevrl times a yr,2,1,0,0,Very Happy
10005022,B,working fulltime,41,no,no,12,e. nor. central,0,0,0,$25000 or more,lt once a year,2,4,0,1,Pretty Happy
10005024,B,working fulltime,60,no,no,16,w. sou. central,2,1,0,$25000 or more,once a year,3,NA,0,0,Very Happy
10005025,B,working fulltime,46,no,no,13,w. sou. central,1,0,0,$25000 or more,nrly every week,3,2,1,NA,Not Happy
10005026,B,working fulltime,86,NA,no,16,middle atlantic,0,0,0,$25000 or more,2-3x a month,2,1,0,0,Pretty Happy
10005029,B,working fulltime,44,no,no,19,w. sou. central,0,0,2,$25000 or more,sevrl times a yr,1,2,0,NA,Pretty Happy
10005030,B,working fulltime,24,NA,NA,14,w. sou. central,0,0,0,$25000 or more,once a year,3,NA,0,1,Pretty Happy
10005031,B,school,29,NA,NA,11,w. sou. central,1,1,1,$10000 - 14999,lt once a year,1,NA,1,1,Very Happy
10005032,B,working fulltime,32,no,NA,11,w. sou. central,3,0,0,$25000 or more,NA,1,2,1,NA,Pretty Happy
10005033,B,school,42,NA,NA,16,w. sou. central,0,0,0,lt $1000,NA,1,2,0,NA,Pretty Happy
10005035,B,working fulltime,66,NA,NA,20,foreign,0,0,0,$25000 or more,sevrl times a yr,2,2,0,0,Not Happy
10005036,B,working fulltime,46,NA,no,13,w. sou. central,0,0,0,$20000 - 24999,sevrl times a yr,1,NA,1,0,Pretty Happy
10005039,B,school,NA,NA,NA,16,south atlantic,1,0,0,$1000 to 2999,2-3x a month,1,5,1,NA,Pretty Happy
10005040,B,working fulltime,29,NA,NA,13,south atlantic,0,0,0,$25000 or more,sevrl times a yr,1,NA,0,0,Very Happy
10005041,B,working fulltime,46,NA,NA,15,w. sou. central,0,0,0,$20000 - 24999,sevrl times a yr,2,4,1,NA,Pretty Happy
10005042,B,working fulltime,48,NA,NA,18,w. sou. central,0,0,0,$20000 - 24999,once a year,3,2,0,NA,Very Happy
10005043,B,working parttime,30,no,NA,8,w. sou. central,0,0,0,$8000 to 9999,every week,1,6,0,NA,Pretty Happy
10005044,B,working parttime,30,NA,NA,13,w. sou. central,0,0,0,$8000 to 9999,NA,1,NA,0,1,Very Happy
10005046,B,working fulltime,42,NA,NA,14,w. sou. central,0,0,0,$8000 to 9999,once a year,1,3,1,NA,Very Happy
10005048,B,school,NA,NA,NA,15,w. sou. central,0,0,0,$5000 to 5999,NA,1,NA,0,0,Very Happy
10005049,B,working fulltime,46,NA,NA,14,w. sou. central,0,0,0,$25000 or more,NA,1,5,0,NA,Pretty Happy
10005050,B,working parttime,43,NA,NA,15,w. sou. central,0,0,0,$7000 to 7999,NA,2,2,1,0,Pretty Happy
10005051,B,temp not working,25,NA,NA,11,w. sou. central,0,0,0,NA,once a year,2,5,1,0,Pretty Happy
10005052,B,working fulltime,24,no,no,19,w. sou. central,1,1,1,$25000 or more,2-3x a month,2,4,0,0,Very Happy
10005053,B,working fulltime,39,yes,NA,11,w. sou. central,1,1,0,$25000 or more,2-3x a month,1,NA,1,1,Not Happy
10005054,B,working fulltime,19,no,no,11,w. sou. central,2,2,0,$8000 to 9999,2-3x a month,1,NA,0,1,Very Happy
10005055,B,working fulltime,30,no,no,12,w. sou. central,2,0,0,$15000 - 19999,lt once a year,1,5,0,NA,Not Happy
10005056,B,temp not working,32,yes,no,13,w. sou. central,0,3,0,$10000 - 14999,nrly every week,1,3,0,NA,Very Happy
10005057,B,working parttime,49,yes,yes,12,w. sou. central,0,0,0,$20000 - 24999,more thn once wk,3,1,1,NA,Very Happy
10005058,B,keeping house,29,no,no,10,foreign,1,1,1,$10000 - 14999,never,1,NA,1,1,Not Happy
10005060,B,working fulltime,60,NA,NA,14,w. sou. central,1,1,0,$1000 to 2999,once a month,2,4,1,1,Very Happy
10005062,B,keeping house,55,no,NA,12,w. sou. central,1,1,1,$10000 - 14999,never,1,8,1,NA,Not Happy
10005065,B,working fulltime,44,NA,NA,12,pacific,0,0,0,$6000 to 6999,never,2,3,1,1,Pretty Happy
10005066,B,working fulltime,60,NA,no,12,w. sou. central,0,0,0,$15000 - 19999,2-3x a month,1,NA,1,1,Not Happy
10005067,B,keeping house,46,yes,no,15,pacific,1,2,0,$25000 or more,sevrl times a yr,1,NA,1,1,Pretty Happy
10005068,B,working parttime,32,no,no,12,w. sou. central,0,0,0,$25000 or more,once a year,3,NA,1,0,Pretty Happy
10005070,B,working fulltime,24,no,no,7,w. sou. central,2,2,0,$10000 - 14999,lt once a year,1,2,0,NA,Pretty Happy
10005071,NA,working fulltime,47,no,no,12,w. sou. central,1,1,0,$15000 - 19999,once a month,2,5,0,1,Pretty Happy
10005072,B,working fulltime,43,NA,no,13,w. sou. central,1,0,0,$10000 - 14999,sevrl times a yr,1,4,1,NA,Pretty Happy
10005075,B,working fulltime,59,NA,NA,19,w. sou. central,0,0,0,$25000 or more,more thn once wk,3,2,1,NA,Pretty Happy
10005076,B,working fulltime,36,yes,no,14,w. sou. central,0,0,0,$25000 or more,lt once a year,2,3,0,0,Pretty Happy
10005077,B,working parttime,41,no,no,16,w. nor. central,0,2,0,$25000 or more,every week,3,NA,1,1,Very Happy
10005078,B,working fulltime,62,no,no,18,mountain,0,0,0,$25000 or more,every week,1,2,0,NA,Very Happy
10005080,B,working fulltime,47,NA,yes,12,mountain,0,0,0,$25000 or more,never,2,4,0,1,Not Happy
10005081,B,working fulltime,61,no,no,20,new england,0,0,2,$25000 or more,every week,1,0,1,NA,Not Happy
10005082,B,working fulltime,66,no,NA,18,mountain,0,1,2,$25000 or more,never,3,NA,1,0,Pretty Happy
10005084,B,working fulltime,39,yes,no,11,mountain,0,0,0,$25000 or more,every week,1,5,0,NA,Very Happy
10005089,B,temp not working,33,no,NA,13,mountain,0,1,2,$25000 or more,more thn once wk,1,2,0,NA,Very Happy
10005090,B,working parttime,30,NA,NA,18,mountain,0,0,1,$15000 - 19999,more thn once wk,2,8,1,0,Pretty Happy
10005091,B,keeping house,21,yes,yes,13,e. nor. central,0,0,0,$10000 - 14999,never,3,NA,1,1,Pretty Happy
10005094,B,working fulltime,44,NA,NA,10,pacific,0,1,0,$10000 - 14999,nrly every week,1,2,1,NA,Pretty Happy
10005098,B,working fulltime,66,NA,no,14,mountain,0,0,0,$25000 or more,NA,3,3,1,NA,Pretty Happy
10005101,B,retired,66,no,yes,14,w. sou. central,0,0,0,NA,never,2,2,1,0,Pretty Happy
10005105,B,working fulltime,47,no,NA,13,mountain,2,0,0,$25000 or more,2-3x a month,1,2,0,NA,Very Happy
10005107,B,working fulltime,28,NA,NA,17,pacific,0,0,0,$15000 - 19999,never,1,NA,1,0,Pretty Happy
10005109,B,working parttime,39,yes,NA,16,e. nor. central,0,0,0,$5000 to 5999,every week,1,3,1,NA,Very Happy
10005110,B,retired,50,NA,NA,13,middle atlantic,0,0,0,$10000 - 14999,never,2,1,1,0,Pretty Happy
10005112,B,working fulltime,47,NA,NA,16,mountain,0,0,0,$25000 or more,sevrl times a yr,2,2,1,1,Pretty Happy
10005115,B,working fulltime,51,NA,NA,16,w. sou. central,0,0,0,$25000 or more,every week,2,2,0,1,Very Happy
10005116,B,school,NA,NA,NA,12,mountain,0,0,0,$4000 to 4999,once a year,1,NA,1,NA,Pretty Happy
10005117,B,keeping house,51,yes,no,12,mountain,1,0,0,$25000 or more,once a year,2,3,1,0,Pretty Happy
10005118,B,working fulltime,62,no,no,12,mountain,1,0,0,$25000 or more,lt once a year,1,0,1,NA,Pretty Happy
10005119,B,other,52,no,NA,12,mountain,0,0,0,$15000 - 19999,never,2,6,1,0,Very Happy
10005120,B,working fulltime,42,no,no,12,mountain,0,0,1,$25000 or more,once a month,3,5,0,NA,Pretty Happy
10005121,B,keeping house,51,no,NA,11,w. nor. central,0,0,0,NA,more thn once wk,2,2,1,0,Pretty Happy
10005122,B,working fulltime,33,no,yes,0,foreign,1,1,0,$15000 - 19999,never,1,NA,1,0,Not Happy
10005125,B,working fulltime,47,NA,no,10,south atlantic,0,1,2,$15000 - 19999,nrly every week,1,2,1,NA,Pretty Happy
10005126,B,school,30,NA,NA,15,foreign,0,0,0,$25000 or more,sevrl times a yr,3,NA,0,0,Pretty Happy
10005127,B,working fulltime,48,NA,NA,16,w. nor. central,0,0,0,$25000 or more,never,2,1,0,0,Pretty Happy
10005128,B,school,44,no,no,16,mountain,0,0,0,$25000 or more,once a year,3,NA,0,0,Pretty Happy
10005131,B,working fulltime,43,no,no,17,mountain,0,0,0,$25000 or more,never,3,1,1,NA,Pretty Happy
10005132,B,working fulltime,61,no,no,16,mountain,1,1,0,$25000 or more,more thn once wk,2,1,0,0,Very Happy
10005133,B,keeping house,17,no,no,12,w. sou. central,0,0,0,$25000 or more,2-3x a month,2,2,1,0,Very Happy
10005135,B,working fulltime,49,NA,no,20,mountain,0,0,0,$10000 - 14999,every week,1,3,1,NA,Pretty Happy
10005137,B,keeping house,39,no,no,11,middle atlantic,0,0,0,$1000 to 2999,never,1,NA,1,0,Very Happy
10005139,B,school,34,NA,NA,13,mountain,0,0,0,$3000 to 3999,never,1,2,1,NA,Very Happy
10005140,B,working fulltime,51,NA,NA,17,e. nor. central,0,0,0,$20000 - 24999,once a year,1,NA,0,1,Pretty Happy
10005141,B,working parttime,32,NA,no,15,e. nor. central,0,0,0,$8000 to 9999,never,3,NA,0,1,Pretty Happy
10005142,B,working fulltime,38,NA,NA,12,e. nor. central,0,0,0,$15000 - 19999,lt once a year,3,NA,0,0,Pretty Happy
10005143,B,working fulltime,42,NA,no,12,new england,0,0,0,$20000 - 24999,never,1,2,1,NA,Very Happy
10005145,B,keeping house,42,no,no,13,south atlantic,0,0,2,$25000 or more,more thn once wk,1,NA,1,0,Pretty Happy
10005146,B,working fulltime,45,NA,NA,13,mountain,0,0,0,$20000 - 24999,sevrl times a yr,1,4,0,NA,Very Happy
10005147,B,other,40,NA,no,NA,w. nor. central,0,0,0,$8000 to 9999,never,2,4,1,0,Pretty Happy
10005149,B,working fulltime,34,yes,no,14,e. nor. central,0,0,0,$25000 or more,every week,1,2,0,NA,Pretty Happy
10005150,NA,working fulltime,44,no,no,12,new england,0,0,0,$20000 - 24999,never,3,NA,0,1,Not Happy
10005151,B,working fulltime,51,NA,no,12,mountain,0,0,0,$25000 or more,once a year,2,2,1,0,Pretty Happy
10005154,B,working fulltime,58,NA,no,16,e. nor. central,0,0,1,$25000 or more,2-3x a month,3,NA,0,0,Pretty Happy
10005155,B,keeping house,65,NA,no,13,south atlantic,0,0,3,$25000 or more,sevrl times a yr,2,4,1,1,Not Happy
10005158,B,working parttime,49,NA,no,14,mountain,0,0,0,$20000 - 24999,more thn once wk,3,3,1,NA,Pretty Happy
10005162,B,working parttime,47,NA,NA,8,foreign,0,0,0,$10000 - 14999,never,3,2,1,NA,Pretty Happy
10005163,B,working fulltime,31,no,no,14,foreign,0,2,0,$25000 or more,never,1,1,0,NA,Very Happy
10005164,B,working fulltime,47,NA,NA,12,mountain,0,0,2,$15000 - 19999,NA,2,2,1,1,Pretty Happy
10005165,B,working fulltime,23,NA,no,10,w. sou. central,0,0,0,$25000 or more,never,2,4,1,0,Not Happy
10005169,B,working parttime,31,yes,no,14,pacific,1,2,0,$25000 or more,lt once a year,1,1,1,NA,Not Happy
10005170,B,working fulltime,49,NA,NA,16,middle atlantic,0,0,0,$25000 or more,sevrl times a yr,2,3,0,0,Pretty Happy
10005171,B,working fulltime,48,NA,no,19,w. nor. central,0,0,0,$25000 or more,nrly every week,1,1,1,NA,Pretty Happy
10005173,B,working fulltime,51,no,no,18,mountain,0,0,1,$25000 or more,never,2,1,0,0,Very Happy
10005174,NA,working fulltime,73,NA,NA,16,mountain,0,0,0,$25000 or more,lt once a year,1,1,1,NA,Very Happy
10005177,B,working fulltime,72,NA,NA,19,new england,0,0,0,NA,once a year,2,1,0,0,Pretty Happy
10005179,B,working fulltime,64,no,no,18,w. nor. central,1,1,0,$25000 or more,never,1,NA,0,1,Very Happy
10005180,B,working fulltime,75,NA,no,20,w. nor. central,0,0,0,$25000 or more,every week,1,NA,1,1,Pretty Happy
10005181,B,working fulltime,36,no,no,11,mountain,1,3,1,NA,every week,2,1,0,1,Pretty Happy
10005184,B,working fulltime,32,yes,no,13,w. nor. central,0,0,0,$25000 or more,lt once a year,1,NA,0,0,Pretty Happy
10005185,B,working parttime,36,no,no,13,middle atlantic,0,0,0,$25000 or more,never,3,2,1,NA,Pretty Happy
10005186,B,school,28,NA,no,17,pacific,0,3,0,$10000 - 14999,lt once a year,1,NA,1,0,Pretty Happy
10005188,B,working fulltime,66,no,no,16,mountain,0,0,1,$25000 or more,2-3x a month,1,NA,1,0,Pretty Happy
10005189,B,retired,38,NA,NA,15,pacific,0,0,0,$8000 to 9999,never,2,5,0,0,Pretty Happy
10005190,B,working fulltime,44,yes,yes,7,mountain,0,0,0,$25000 or more,never,1,4,0,NA,Pretty Happy
10005193,B,working fulltime,51,NA,no,12,pacific,1,0,0,$25000 or more,once a year,2,1,0,0,Pretty Happy
10005194,B,working fulltime,31,NA,NA,14,pacific,0,0,0,$25000 or more,once a year,1,NA,0,1,Pretty Happy
10005195,B,working parttime,51,no,NA,20,foreign,0,0,0,$25000 or more,2-3x a month,1,NA,0,1,Pretty Happy
10005196,B,working fulltime,27,yes,no,16,foreign,1,1,0,$6000 to 6999,sevrl times a yr,2,2,0,1,Very Happy
10005199,B,keeping house,35,NA,NA,12,pacific,1,0,0,$25000 or more,never,1,NA,1,1,Pretty Happy
10005202,B,working fulltime,49,no,no,12,pacific,2,0,0,$10000 - 14999,more thn once wk,2,2,0,1,Not Happy
10005203,B,school,50,no,no,18,w. nor. central,0,0,0,$1000 to 2999,2-3x a month,2,1,1,1,Pretty Happy
10005204,B,working fulltime,37,no,no,14,pacific,1,0,0,$25000 or more,sevrl times a yr,1,3,0,NA,Very Happy
10005205,B,working fulltime,39,NA,NA,14,pacific,0,0,0,$25000 or more,sevrl times a yr,1,1,0,NA,Not Happy
10005206,B,working fulltime,51,NA,NA,12,pacific,0,0,0,$20000 - 24999,sevrl times a yr,3,NA,0,0,Not Happy
10005207,B,working fulltime,50,no,no,14,pacific,0,0,0,$25000 or more,once a year,3,NA,0,0,Very Happy
10005208,B,working parttime,52,NA,no,18,middle atlantic,0,0,0,$25000 or more,never,2,2,1,0,Pretty Happy
10005209,B,working fulltime,47,no,no,14,pacific,0,0,0,$25000 or more,once a year,3,2,1,NA,Very Happy
10005210,B,working fulltime,51,no,no,16,pacific,0,0,0,$25000 or more,never,3,4,0,NA,Pretty Happy
10005212,B,retired,48,no,NA,13,middle atlantic,0,0,0,$10000 - 14999,never,2,3,0,1,Very Happy
10005214,B,working fulltime,38,NA,NA,12,foreign,0,0,1,NA,more thn once wk,2,1,0,0,Pretty Happy
10005215,B,retired,34,no,no,12,pacific,0,0,0,$25000 or more,lt once a year,3,2,0,NA,Very Happy
10005218,B,keeping house,46,no,no,12,pacific,0,2,0,$25000 or more,every week,2,2,1,0,Very Happy
10005219,B,working fulltime,86,yes,no,15,middle atlantic,0,0,0,NA,once a year,3,NA,0,0,Very Happy
10005221,B,working fulltime,51,yes,no,12,pacific,0,0,0,$25000 or more,every week,2,2,1,1,Very Happy
10005226,B,keeping house,33,NA,no,10,pacific,0,2,0,$25000 or more,once a year,2,6,1,1,Pretty Happy
10005228,B,working fulltime,30,yes,no,12,pacific,0,0,0,$25000 or more,never,3,NA,0,0,Pretty Happy
10005230,B,working fulltime,53,no,NA,13,pacific,0,2,2,$25000 or more,every week,1,NA,0,0,Very Happy
10005231,B,keeping house,51,no,no,13,pacific,1,1,0,$20000 - 24999,never,1,3,1,NA,Pretty Happy
10005232,B,working fulltime,36,no,no,11,pacific,1,2,2,$25000 or more,2-3x a month,3,2,0,NA,Pretty Happy
10005236,B,working fulltime,31,yes,no,8,pacific,0,0,0,$20000 - 24999,more thn once wk,1,5,1,NA,Pretty Happy
10005237,B,working fulltime,66,no,no,12,foreign,0,0,1,$25000 or more,2-3x a month,1,3,1,NA,Pretty Happy
10005242,B,working fulltime,24,no,no,15,south atlantic,0,0,0,$25000 or more,sevrl times a yr,2,4,0,0,Pretty Happy
10005245,B,working fulltime,20,NA,NA,12,pacific,0,0,0,$10000 - 14999,never,1,0,0,NA,Not Happy
10005250,B,working fulltime,51,no,no,15,pacific,0,0,0,$25000 or more,never,1,2,1,NA,Very Happy
10005251,B,working fulltime,29,no,no,12,pacific,1,1,2,$20000 - 24999,once a year,2,4,0,0,Pretty Happy
10005252,B,working fulltime,32,NA,NA,12,pacific,0,0,0,NA,never,1,0,1,NA,Pretty Happy
10005254,B,working fulltime,44,no,no,16,pacific,1,1,0,$25000 or more,lt once a year,3,NA,0,0,Very Happy
10005255,B,working fulltime,48,NA,NA,13,pacific,0,0,0,$20000 - 24999,lt once a year,2,5,0,1,Pretty Happy
10005257,B,keeping house,42,NA,NA,14,pacific,1,1,0,$10000 - 14999,every week,1,NA,1,1,Not Happy
10005258,B,retired,29,no,no,9,pacific,0,0,0,$20000 - 24999,every week,2,6,0,0,Very Happy
10005259,B,keeping house,35,NA,no,12,foreign,0,3,1,$10000 - 14999,more thn once wk,1,4,1,NA,Not Happy
10005260,B,working fulltime,30,NA,no,13,foreign,0,0,0,$25000 or more,never,3,4,0,NA,Pretty Happy
10005263,B,working fulltime,64,NA,NA,15,e. nor. central,0,0,0,$15000 - 19999,once a month,2,3,1,0,Pretty Happy
10005265,B,working fulltime,42,NA,NA,17,pacific,0,0,0,$25000 or more,more thn once wk,2,0,1,0,Pretty Happy
10005268,B,working fulltime,33,yes,no,12,pacific,0,1,1,$20000 - 24999,never,1,NA,1,1,Not Happy
10005272,B,working fulltime,64,no,NA,18,pacific,1,3,0,$25000 or more,more thn once wk,1,NA,0,1,Very Happy
10005273,B,working fulltime,71,yes,NA,14,w. nor. central,1,1,0,$25000 or more,sevrl times a yr,1,2,0,NA,Pretty Happy
10005274,B,working fulltime,64,no,NA,20,w. nor. central,0,0,0,$25000 or more,2-3x a month,3,1,0,NA,Very Happy
10005276,B,working fulltime,72,NA,NA,18,pacific,0,0,0,$25000 or more,NA,3,NA,0,0,Pretty Happy
10005277,B,working parttime,31,NA,NA,12,pacific,0,0,2,NA,never,2,1,0,0,Pretty Happy
10005278,B,school,42,yes,no,15,e. nor. central,0,1,0,$25000 or more,NA,3,NA,1,0,Pretty Happy
10005279,NA,working fulltime,74,no,no,18,foreign,0,0,0,$25000 or more,once a month,1,3,0,NA,Very Happy
10005281,B,keeping house,30,no,no,12,pacific,1,0,0,$15000 - 19999,every week,2,3,1,1,Pretty Happy
10005284,B,working parttime,29,NA,NA,20,w. nor. central,0,0,0,$8000 to 9999,never,1,1,0,NA,Very Happy
10005285,B,working fulltime,65,NA,NA,12,pacific,0,0,0,NA,once a year,1,NA,1,0,Pretty Happy
10005287,B,working fulltime,44,NA,NA,14,pacific,0,0,0,$15000 - 19999,once a year,3,1,1,NA,Pretty Happy
10005288,B,working fulltime,51,no,no,17,pacific,0,0,0,$25000 or more,never,3,1,0,NA,Very Happy
10005289,B,temp not working,34,no,no,8,south atlantic,0,2,0,$15000 - 19999,every week,2,6,0,0,Pretty Happy
10005295,B,retired,59,yes,no,12,new england,0,0,0,NA,lt once a year,3,3,1,NA,Very Happy
10005297,B,retired,28,no,NA,9,new england,0,0,0,$8000 to 9999,never,1,3,1,NA,Pretty Happy
10005298,B,working fulltime,47,yes,no,8,new england,1,0,0,$25000 or more,once a year,1,NA,0,0,Pretty Happy
10005300,B,working parttime,40,NA,NA,11,new england,0,0,2,$25000 or more,more thn once wk,2,2,1,1,Pretty Happy
10005301,B,school,28,NA,NA,16,new england,0,0,0,$15000 - 19999,once a year,2,3,1,0,Very Happy
10005302,B,working fulltime,31,no,no,15,new england,0,0,1,$25000 or more,never,3,1,0,NA,Very Happy
10005304,B,keeping house,66,no,no,16,new england,0,0,0,$25000 or more,every week,1,NA,1,1,Very Happy
10005305,B,working fulltime,45,yes,no,12,new england,0,0,0,$25000 or more,once a year,3,2,0,NA,Pretty Happy
10005306,B,working fulltime,47,yes,no,16,new england,0,0,0,$10000 - 14999,sevrl times a yr,1,NA,1,0,Not Happy
10005308,B,working fulltime,46,NA,NA,16,new england,0,0,0,$25000 or more,once a year,2,1,1,0,Pretty Happy
10005310,B,keeping house,51,no,NA,10,middle atlantic,0,0,0,NA,every week,1,5,1,NA,Not Happy
10005312,B,working fulltime,40,yes,no,12,new england,0,0,0,$25000 or more,once a year,2,0,0,0,Pretty Happy
